"No","대분류","중분류","소분류","성숙도","성숙도 판단 근거","트랙","HR 중요도","HR 시급도","실행 제안 구간","경영진 중요도","합의 우선순위","비고","HRM 기능"
"12","1. 인재 확보","소싱·파이프라인","다이렉트 소싱 체계","2","운영 중이나 모수 감소·효율 저하, 리뉴얼 필요성 제기","A","상","상","26.3Q","","","","F2. 채용·확보"
"13","1. 인재 확보","소싱·파이프라인","인재풀(Talent Pool) 구축·관리","2","Raw는 확보. 기획초입단계에서의 속도감 필요","A","상","중","26.4Q","","","","F2. 채용·확보"
"14","1. 인재 확보","소싱·파이프라인","사내추천 제도","1","운영 중이나 설계 의도대로 진행 어렵고 별도 기획 없음","A","중","중","26.4Q","","","","F2. 채용·확보"
"15","1. 인재 확보","소싱·파이프라인","경쟁사·타깃 기업 매핑","1","아주 얕은 수준에서 머물러있음","A","중","중","26.4Q","","","","F2. 채용·확보"
"16","1. 인재 확보","소싱·파이프라인","잠재후보 CRM","1","아웃바운딩활동 취약","A","하","하","27년 이후","","","","F2. 채용·확보"
"17","1. 인재 확보","선발 프로세스","JD 표준화","1","운영 중, 현업-피플 간 주된 커뮤니케이션 단위","C","중","중","상시","","","","F2. 채용·확보"
"18","1. 인재 확보","선발 프로세스","서류·스크리닝 기준","1","기준은 있으나 소서-현업 간 역할 배분 미정리","A","상","상","26.3Q","","","","F2. 채용·확보"
"19","1. 인재 확보","선발 프로세스","면접 구조화(역량·컬처핏)","1","면접 운영되나 사전 변별 한계가 반복 인식됨","A","상","중","26.4Q","","","","F2. 채용·확보"
"20","1. 인재 확보","선발 프로세스","면접관 교육·인증","1","근거 불충분 – 현황 확인 필요","A","중","중","26.4Q","","","","F2. 채용·확보"
"21","1. 인재 확보","선발 프로세스","평가표·합의 절차","1","근거 불충분 – 현황 확인 필요","A","중","중","26.4Q","","","","F2. 채용·확보"
"22","1. 인재 확보","선발 프로세스","처우 협상·오퍼 관리","2","운영담당자가 나름의 논리에 따라 처우협의 진행","C","중","중","상시","","","","F2. 채용·확보"
"23","1. 인재 확보","선발 프로세스","레퍼런스 체크","1","근거 불충분 – 현황 확인 필요","A","중","하","27년 이후","","","","F2. 채용·확보"
"24","1. 인재 확보","채용 브랜딩","EVP 정의","1","미션·비전·브랜딩 전반 미흡","A","상","중","26.4Q","","","","F2. 채용·확보"
"25","1. 인재 확보","채용 브랜딩","채용 홈페이지·채널 운영","1","전면 개편 필요성은 지속적으로 대두","A","상","중","26.4Q","","","","F2. 채용·확보"
"26","1. 인재 확보","채용 브랜딩","콘텐츠·PR","1","주기적인 게시에 그침","A","중","하","27년 이후","","","","F2. 채용·확보"
"27","1. 인재 확보","채용 브랜딩","채용설명회·외부 활동","1","근거 불충분 – 현황 확인 필요","A","하","하","27년 이후","","","","F2. 채용·확보"
"28","1. 인재 확보","채용 브랜딩","리뷰 플랫폼 평판 관리","1","부정 바이럴은 인지, 대응 체계 부재","A","중","중","26.4Q","","","","F2. 채용·확보"
"29","1. 인재 확보","온보딩","입사 전 커뮤니케이션(오퍼~입사 이탈 방지)","2","프리보딩 선물 및 특이건 대응관리","A","중","중","26.4Q","","","","F2. 채용·확보"
"30","1. 인재 확보","온보딩","온보딩 프로그램 설계","3","일정 볼륨 이상의 입사자에게 양/질의 온보딩 가능한 시스템 구축","A","상","상","26.3Q","","","","F2. 채용·확보"
"31","1. 인재 확보","온보딩","초기 정착 지원(버디·멘토)","1","제도 전무","A","중","중","26.4Q","","","","F2. 채용·확보"
"32","1. 인재 확보","온보딩","30·60·90일 체크인","2","1주차, 4개월 체크인 진행하고 있음","A","중","중","26.4Q","","","","F2. 채용·확보"
"33","1. 인재 확보","채용 운영·측정","ATS 운영","2","HR담당자 외 유관자들의 친숙도는 올라왔으나 고도화까지는 이루지 못함","C","중","하","상시","","","","F10. HR운영·시스템"
"34","1. 인재 확보","채용 운영·측정","퍼널 지표 체계","2","수기 관리 중, 대시보드화 진행 중","A","상","상","26.3Q","","","","F10. HR운영·시스템"
"35","1. 인재 확보","채용 운영·측정","채용 만족도(현업·후보자)","1","진행되지못함","A","하","하","27년 이후","","","","F2. 채용·확보"
"36","2. 검증과 정렬","목표관리","목표 캐스케이딩 구조(전사→본부→팀→개인)","1","목표관리를 위한 전사회의체 참석 중이나 진척상황X","A","상","상","26.3Q","","","","F4. 평가·성과관리"
"37","2. 검증과 정렬","목표관리","목표 수립 방법론(MBO·KPI·OKR)","1","목표관리를 위한 전사회의체 참석 중이나 진척상황X","A","상","상","26.3Q","","","","F4. 평가·성과관리"
"38","2. 검증과 정렬","목표관리","목표 설정 가이드·교육","1","목표관리를 위한 전사회의체 참석 중이나 진척상황X","A","상","중","26.4Q","","","","F4. 평가·성과관리"
"39","2. 검증과 정렬","목표관리","목표 변경·롤링 규칙","1","목표관리를 위한 전사회의체 참석 중이나 진척상황X","A","상","상","26.3Q","","","","F4. 평가·성과관리"
"40","2. 검증과 정렬","목표관리","진척 트래킹 주기(연-분기-월-주 연계)","1","목표관리를 위한 전사회의체 참석 중이나 진척상황X","A","상","상","26.3~4Q","","","","F4. 평가·성과관리"
"41","2. 검증과 정렬","성과평가","평가체계 수립","2","CIC 대비 기획 필요","B","상","중","26.4Q","","","","F4. 평가·성과관리"
"42","2. 검증과 정렬","성과평가","평가 대상·주기·등급체계","2","임팩트*핵심가치 중심의 평가체계 운영","B","상","중","26.4Q","","","","F4. 평가·성과관리"
"43","2. 검증과 정렬","성과평가","평가 지표(정량·정성 배분)","1","설계되었으나 의의X","A","상","중","26.4Q","","","","F4. 평가·성과관리"
"44","2. 검증과 정렬","성과평가","평가자 교육","2","신규리더 대상 진행","A","중","중","26.4Q","","","","F4. 평가·성과관리"
"45","2. 검증과 정렬","성과평가","다면·동료평가","1","필요성부터 분석 필요","A","중","중","26.4Q","","","","F4. 평가·성과관리"
"46","2. 검증과 정렬","성과평가","평가 캘리브레이션","2","부문대표-경영진간 진행되나, 기준에 따라 진행은 미흡","A","상","중","26.4Q","","","","F4. 평가·성과관리"
"47","2. 검증과 정렬","성과평가","이의제기 절차","1","사실상 형식적","B","중","중","26.4Q","","","","F4. 평가·성과관리"
"48","2. 검증과 정렬","수습·전환 평가","수습 기준·기간","3","매우 타이트한 기준과 원칙을 가지고 운영 중","A","상","상","26.3Q","","","","F4. 평가·성과관리"
"49","2. 검증과 정렬","수습·전환 평가","평가 항목·척도","2","초기 설계는 나쁘지 않았으나 일부 업데이트 필요","A","상","상","26.3Q","","","","F4. 평가·성과관리"
"50","2. 검증과 정렬","수습·전환 평가","리더 운영 가이드","2","초기 정착 이후 혼선이나 질문X","A","상","상","26.3Q","","","","F4. 평가·성과관리"
"51","2. 검증과 정렬","수습·전환 평가","전환·미전환 의사결정 프로세스","3","입사일 기준 단위기간을 나누고, 기한 내에서 체계적으로 운영","A","상","상","26.3Q","","","","F4. 평가·성과관리"
"52","2. 검증과 정렬","피드백 체계","상시 피드백 문화","1","X","A","중","하","27년 이후","","","","F4. 평가·성과관리"
"53","2. 검증과 정렬","피드백 체계","저성과자 관리(PIP)","1","X","B","상","중","26.4Q","","","","F4. 평가·성과관리"
"54","2. 검증과 정렬","평가 결과 활용","보상 연계","2","인센티브, 정기연봉조정 시 근거항목","A","상","중","26.4Q","","","","F4. 평가·성과관리"
"55","2. 검증과 정렬","평가 결과 활용","평가결과활용(승진·직책·배치·육성 연계)","1","직책 보임 기준 불명확","A","상","중","26.4Q","","","","F4. 평가·성과관리"
"56","2. 검증과 정렬","성과 데이터","평가 결과 분포·변별력 분석","1","서베이·분석 수행 이력 있으나 큰 의미없음","A","중","중","26.4Q","","","","F4. 평가·성과관리"
"57","2. 검증과 정렬","성과 데이터","조직별 성과 편차 진단","1","진행필요","A","중","중","26.4Q","","","","F4. 평가·성과관리"
"58","3. 유지와 보상","보상 전략","보상 철학·원칙 정의","1","평가와 연계한 최소수준에서 진행","A","상","상","26.3Q","","","","F5. 보상"
"59","3. 유지와 보상","보상 전략","페이밴드·직무급 체계","1","Raw 데이터는 확보하였으나 아직 Band화 되지 못함","A","상","중","26.4Q","","","","F5. 보상"
"60","3. 유지와 보상","보상 전략","보상 시장 데이터 확보","2","Raw 데이터는 확보하여 직무별로 3단계 분석","A","중","중","26.4Q","","","","F5. 보상"
"61","3. 유지와 보상","고정보상","연봉 조정 로직","2","정기연봉조정 도입으로 회계연도 기준 통일 및 연봉개념 정의 완료","A","상","중","26.4Q","","","","F5. 보상"
"62","3. 유지와 보상","고정보상","승급·승격 기준","1","필요","A","상","중","26.4Q","","","","F5. 보상"
"63","3. 유지와 보상","고정보상","초임·처우 기준","2","기준은 수립되었으나 경력직 위주의 채용으로 논의 필요","C","중","중","상시","","","","F5. 보상"
"64","3. 유지와 보상","고정보상","직책수당·직무수당","2","기준에 따라 직접비/간접비 나누어 운영 중","A","중","중","26.4Q","","","","F5. 보상"
"65","3. 유지와 보상","변동보상","성과급 재원 산정","2","로직 재설계 필요","A","상","상","26.4Q","","","","F5. 보상"
"66","3. 유지와 보상","변동보상","배분 로직(전사·조직·개인)","2","조직 단위 변별력 문제 확인됨","A","상","상","26.4Q","","","","F5. 보상"
"67","3. 유지와 보상","변동보상","사업부 단위 성과 연동","1","CIC 대비 기획 필요","A","상","상","26.3~4Q","","","","F5. 보상"
"68","3. 유지와 보상","단기 인센티브","성과인센티브","1","","A","상","상","26.3~4Q","","","","F5. 보상"
"69","3. 유지와 보상","단기 인센티브","리텐션보너스","1","","A","상","상","26.3~4Q","","","","F5. 보상"
"70","3. 유지와 보상","단기 인센티브","세일즈 매출 인센티브","1","","A","상","상","26.3~4Q","","","","F5. 보상"
"71","3. 유지와 보상","장기 인센티브","스톡옵션·RSU·팬텀스톡","1","CFO 리딩하에 실무계약서 팔로업 수준","A","상","상","26.3~4Q","","","","F5. 보상"
"72","3. 유지와 보상","장기 인센티브","부여 기준·베스팅 설계","1","스톡옵션규정 수립 필요","A","상","상","26.3~4Q","","","","F5. 보상"
"73","3. 유지와 보상","보상 운영","급여·4대보험","2","무난한 수준에서 운영 중","C","상","상","상시","","","","F5. 보상"
"74","3. 유지와 보상","복리후생","비용 효율성 검토","1","미진행. 진행필요","A","중","하","27년 이후","","","","F5. 보상"
"75","3. 유지와 보상","복리후생","만족도 조사","1","미진행. 진행필요","A","하","하","27년 이후","","","","F5. 보상"
"76","3. 유지와 보상","핵심인재 관리","정의·선정 기준","2","그룹핑되었으나 이후 유의미한 진전X","A","상","상","26.3Q","","","","F3. 인력운영·유지"
"77","3. 유지와 보상","핵심인재 관리","리텐션 패키지","1","필요성만 합의된 상태","A","상","상","26.3~4Q","","","","F3. 인력운영·유지"
"78","3. 유지와 보상","핵심인재 관리","승계계획(Succession Planning)","1","미구축","A","중","하","27년 이후","","","","F3. 인력운영·유지"
"79","3. 유지와 보상","핵심인재 관리","이탈 위험 모니터링","1","1on1 기반 정성 파악에 의존","A","상","중","26.4Q","","","","F3. 인력운영·유지"
"80","3. 유지와 보상","리텐션","턴오버 분석(자발·비자발, 근속구간)","1","수치 산출·발표 이력, 기준점 미합의","A","상","상","26.3Q","","","","F3. 인력운영·유지"
"81","3. 유지와 보상","리텐션","Stay Interview(재직자 인터뷰)","2","재직자 1on1 운영 중","A","중","중","26.4Q","","","","F3. 인력운영·유지"
"82","3. 유지와 보상","리텐션","리텐션 대상/방법론 설계","1","진행필요","A","상","상","26.3~4Q","","","","F3. 인력운영·유지"
"83","3. 유지와 보상","인건비 관리","인건비 예산 수립·통제","2","연간/반기/분기단위 인건비 예상 시뮬레이션 수립","B","상","상","26.3~4Q","","","","F1. 인사기획·HR전략"
"84","3. 유지와 보상","인건비 관리","다년 인건비 추계","1","인력예측과 맞물려 진행되진 못함","B","상","중","26.4Q","","","","F1. 인사기획·HR전략"
"85","3. 유지와 보상","인건비 관리","인건비율·생산성 지표","2","급여대장에 일부 분석","A","상","중","26.4Q","","","","F1. 인사기획·HR전략"
"86","4. 지속가능성","노무 관리","취업규칙·인사규정 정비","1","진행필요","B","상","상","26.3~4Q","","","","F8. 노무·ER"
"87","4. 지속가능성","노무 관리","근로계약 관리","2","법정의무사항 준수","B","중","중","상시","","","","F8. 노무·ER"
"88","4. 지속가능성","노무 관리","근로시간 관리(연장·야간·휴일)","2","관리는 되고 있으나 52H 통제불가","B","상","상","26.3Q","","","","F8. 노무·ER"
"89","4. 지속가능성","노무 관리","휴가·휴직 관리","3","ERP 인터페이스 외 체계적으로 관리되고 있음","B","중","중","26.4Q","","","","F8. 노무·ER"
"90","4. 지속가능성","컴플라이언스","노사협의회·근로자대표 운영","1","필요","B","상","상","26.3~4Q","","","","F8. 노무·ER"
"91","4. 지속가능성","컴플라이언스","법정의무교육 이수 관리","3","법정의무사항 준수","B","상","상","26.3Q","","","","F8. 노무·ER"
"92","4. 지속가능성","컴플라이언스","임금 컴플라이언스(최저임금·통상임금·명세서)","3","법정의무사항 준수","B","상","상","26.3Q","","","","F8. 노무·ER"
"93","4. 지속가능성","컴플라이언스","퇴직급여·퇴직연금 제도 운영","2","퇴직금은 올바르게 지급되고 있으나, 연금 가입 필요","B","상","중","26.4Q","","","","F5. 보상"
"94","4. 지속가능성","컴플라이언스","비정규직 사용·차별금지 관리","2","규정, 구성원 마인드교육 등 체계 부재","B","상","상","26.3Q","","","","F8. 노무·ER"
"95","4. 지속가능성","컴플라이언스","채용절차법 준수","2","무난한 수준에서 운영 중","B","상","상","26.3Q","","","","F8. 노무·ER"
"96","4. 지속가능성","컴플라이언스","중대재해처벌법 대응","1","X","B","상","중","26.4Q","","","","F8. 노무·ER"
"97","4. 지속가능성","법적 리스크","근로감독 대응","1","준비필요","B","상","중","상시","","","","F8. 노무·ER"
"98","4. 지속가능성","법적 리스크","노동 관계법령 변화 모니터링","1","피플 리더 1인 개인기에 의존 중","B","상","중","상시","","","","F8. 노무·ER"
"99","4. 지속가능성","법적 리스크","직장 내 괴롭힘·성희롱 대응 체계","2","핫라인 구축 및 법정의무교육 진행","B","상","상","26.3Q","","","","F8. 노무·ER"
"100","4. 지속가능성","법적 리스크","산업안전보건","2","법정의무교육 진행","B","상","중","26.4Q","","","","F8. 노무·ER"
"101","4. 지속가능성","법적 리스크","개인정보·정보보호","2","법정의무교육 진행","B","상","중","26.4Q","","","","F8. 노무·ER"
"102","4. 지속가능성","징계·ER","징계 기준·절차","1","규정 존재하나 운영 미정착","B","상","중","26.4Q","","","","F8. 노무·ER"
"103","4. 지속가능성","징계·ER","고충처리","2","핫라인 운영중이나 이 외 시스템 X","B","중","중","26.4Q","","","","F8. 노무·ER"
"104","4. 지속가능성","징계·ER","개별 노사 이슈 대응","1","개별대응수준","B","상","상","상시","","","","F8. 노무·ER"
"105","4. 지속가능성","오프보딩","퇴직 유형별 프로세스(자발·권고·징계)","1","규정과 함께 진전 필요","B","상","상","26.3Q","","","","F8. 노무·ER"
"106","4. 지속가능성","오프보딩","문서·법적 리스크 관리","2","사직서 수취 및 유형별 시나리오 수립","B","상","상","상시","","","","F8. 노무·ER"
"107","4. 지속가능성","육성","역량모델","1","미구축","A","중","하","27년 이후","","","","F6. 교육·육성"
"108","4. 지속가능성","육성","계층별 교육 및 직무교육","1","미구축","A","상","중","26.4Q","","","","F6. 교육·육성"
"109","4. 지속가능성","육성","리더십 파이프라인","1","미구축","A","상","중","27년 이후","","","","F6. 교육·육성"
"110","4. 지속가능성","육성","교육 효과 측정","1","미구축","A","하","하","27년 이후","","","","F6. 교육·육성"
"111","4. 지속가능성","경력개발","경력경로(Career Path) 설계","1","미구축","A","중","중","27년 이후","","","","F6. 교육·육성"
"112","4. 지속가능성","경력개발","성장 로드맵·레벨업 기준 커뮤니케이션","1","미구축","A","상","중","26.4Q","","","","F6. 교육·육성"
"113","4. 지속가능성","인사 회계·계리","퇴직급여채무 계리평가 대응(K-IFRS 1019)","1","요청시 대응","B","상","상","26.4Q","","","","F5. 보상"
"114","4. 지속가능성","인사 회계·계리","주식기준보상 공정가치 평가·비용 인식(K-IFRS 1102)","1","요청시 대응","B","상","상","26.4Q","","","","F5. 보상"
"115","4. 지속가능성","인사 회계·계리","팬텀스톡·RSU 부채 인식 사전 검토","1","요청시 대응","B","상","상","26.4Q","","","","F5. 보상"
"116","4. 지속가능성","인사 회계·계리","연차수당·미사용휴가 충당부채 산정","3","요청시 대응","B","상","중","26.4Q","","","","F5. 보상"
"117","4. 지속가능성","인사 회계·계리","인건비 계정 배부·부문 원가 귀속","2","요청시 대응","B","상","상","26.3~4Q","","","","F5. 보상"
"118","4. 지속가능성","IPO·내부통제","내부회계관리제도 인사·급여 프로세스 통제 설계","2","요청시 대응","B","상","상","26.4Q","","","","F1. 인사기획·HR전략"
"119","4. 지속가능성","IPO·내부통제","인사·급여 시스템 접근권한 통제","2","드라이브, ERP, 전자결재 툴 마스터계정 별도 관리","B","상","중","26.4Q","","","","F1. 인사기획·HR전략"
"120","4. 지속가능성","IPO·내부통제","IPO 노무 실사 대응(임금체불·근로시간·4대보험)","1","미비","B","상","상","26.4Q","","","","F1. 인사기획·HR전략"
"121","4. 지속가능성","IPO·내부통제","임원 보수한도·임원퇴직금 규정","3","규정 제정 완료","B","상","상","26.4Q","","","","F1. 인사기획·HR전략"
"122","4. 지속가능성","IPO·내부통제","주식매수선택권 부여 절차 적법성·공시","1","미구축","B","상","상","26.3~4Q","","","","F1. 인사기획·HR전략"
"123","4. 지속가능성","거버넌스","인사위원회 등 의사결정 기구","1","미구축. 리스크 취약","B","중","중","26.4Q","","","","F1. 인사기획·HR전략"
"124","5. 확장 기반","사규·내부규정","규정 체계 정비·통합","2","필수 규정 제한적으로 제개정","C","중","중","26.4Q","","","","F10. HR운영·시스템"
"125","5. 확장 기반","사규·내부규정","복무·경비·출장 규정","2","필수 규정 제한적으로 제개정","C","하","중","26.4Q","","","","F10. HR운영·시스템"
"126","5. 확장 기반","조직설계","조직구조 원칙(기능·사업부·매트릭스)","1","CIC체제 도입하였으나 미흡","A","상","상","26.3~4Q","","","","F7. 조직·직무설계"
"127","5. 확장 기반","조직설계","조직 신설·통폐합 기준","1","기준없음","A","상","중","26.4Q","","","","F7. 조직·직무설계"
"128","5. 확장 기반","조직설계","스팬 오브 컨트롤","1","향후논의필요","A","중","중","26.4Q","","","","F7. 조직·직무설계"
"129","5. 확장 기반","직무관리","직무분석·직무기술서·잡레벨 설계","1","X","A","상","중","26.4Q","","","","F7. 조직·직무설계"
"130","5. 확장 기반","직급·직책 체계","직급체계 설계","1","X","A","상","상","26.3~4Q","","","","F7. 조직·직무설계"
"131","5. 확장 기반","권한과 책임","R&R 정의","1","X","A","상","상","26.3~4Q","","","","F7. 조직·직무설계"
"132","5. 확장 기반","권한과 책임","위임전결 규정","1","X","A","상","상","26.3~4Q","","","","F7. 조직·직무설계"
"133","5. 확장 기반","리더십","리더 선발 기준","1","X","A","상","상","26.3~4Q","","","","F7. 조직·직무설계"
"134","5. 확장 기반","리더십","리더십 역량모델","1","X","A","상","중","26.4Q","","","","F6. 교육·육성"
"135","5. 확장 기반","리더십","신임리더 교육","2","리더십타운홀, 직책자 신규안내 수준에서 진행","A","상","상","26.3~4Q","","","","F6. 교육·육성"
"136","5. 확장 기반","인력운영","배치·전환배치·직무이동·순환·겸직·파견","1","이슈인원 대응 수준","A","중","중","26.4Q","","","","F3. 인력운영·유지"
"137","5. 확장 기반","인력운영","인력 재배치","1","X","A","중","중","26.4Q","","","","F3. 인력운영·유지"
"138","5. 확장 기반","변화관리","변화 커뮤니케이션 플랜","1","타운홀에서 전체 맥락 설명 및 경영진 개별 플레이","A","상","상","26.3~4Q","","","","F9. 조직문화·커뮤니케이션"
"139","5. 확장 기반","변화관리","전환기 안정화 조치","1","미구축, 필요성 인식","A","상","상","26.4Q","","","","F9. 조직문화·커뮤니케이션"
"140","5. 확장 기반","회의체·정보구조","회의체 체계 설계","2","기존 회의체 유지관리 및 일부 변화","A","상","상","26.4Q","","","","F9. 조직문화·커뮤니케이션"
"141","5. 확장 기반","회의체·정보구조","문서화·기록 체계","1","고맥락·구두 의존 구조","A","상","중","26.4Q","","","","F9. 조직문화·커뮤니케이션"
"142","5. 확장 기반","조직문화","문화 진단(서베이·지표)","1","진행X","A","상","중","26.4Q","","","","F9. 조직문화·커뮤니케이션"
"143","5. 확장 기반","조직문화","심리적 안정감·몰입도 측정","1","진행X","A","상","중","26.4Q","","","","F9. 조직문화·커뮤니케이션"
"144","5. 확장 기반","조직문화","내부 커뮤니케이션","2","타운홀 및 사내메신저 통한 진행","A","상","상","26.3~4Q","","","","F9. 조직문화·커뮤니케이션"
"145","5. 확장 기반","구성원 경험","EX 여정 설계(입사~퇴사 터치포인트)","1","X","A","중","중","26.4Q","","","","F9. 조직문화·커뮤니케이션"
"146","5. 확장 기반","구성원 경험","몰입도·경험 서베이(eNPS 등)","1","신규입사자에 한하여 제한적","A","상","중","26.4Q","","","","F9. 조직문화·커뮤니케이션"
"147","5. 확장 기반","HR 시스템","HRIS 구축·운영","2","일부 구축되어있으나 기능개선, 신규툴 도입 검토 필요","A","상","중","27년 이후","","","","F10. HR운영·시스템"
"148","5. 확장 기반","HR 시스템","HR 대시보드","2","피플대시보드 운영 중","A","상","상","26.4Q","","","","F10. HR운영·시스템"
